workflow	kind	reference
azure-container-apps-deploy.yml	branch	azure-deploy
bundle-size.yml	workdir	base-branch
bundle-size.yml	branch	develop
code-quality-gates.yml	branch	develop
codeql.yml	branch	develop
codeql.yml	branch	develop
commitlint.yml	branch	develop
coverage-enforcement.yml	branch	develop
developer-onboarding.yml	dockerfile	Dockerfiles
developer-onboarding.yml	dockerfile	SERVICE/Dockerfile
e2e.yml	branch	develop
e2e.yml	branch	develop
hermes-gate.yml	branch	develop
hermes-v3-gate.yml	branch	develop
infrastructure-ci-cd.yml	script	scripts/generate-tf-files.js
infrastructure-ci-cd.yml	branch	develop
lighthouse.yml	branch	develop
terraform.yml	script	scripts/verify-completion.sh
testing.yml	branch	develop
testing.yml	branch	develop
trusted-runner-isolation.yml	dockerfile	/tmp/runner-image/Dockerfile.runner
trusted-runner-isolation.yml	dockerfile	Dockerfile.runner
validate-secrets.yml	branch	hardening/all-phases
