file	score	write_all	pull_request_target	workflow_run	secrets_used	notes
ab-testing.yml	3	1	0	0	0	 broad-perms;
accessibility.yml	0	0	0	0	0	
ai-agent-observability.yml	0	0	0	0	1	
ai-model-governance.yml	0	0	0	0	0	
ai-model-pipeline.yml	3	1	0	0	2	 broad-perms;
ai-safety-guardrails.yml	0	0	0	0	0	
api-contract-testing.yml	0	0	0	0	1	
artifact-provenance.yml	3	1	0	0	0	 broad-perms;
auto-dependency-upgrade.yml	3	1	0	0	1	 broad-perms;
auto-fix.yml	3	1	0	0	1	 broad-perms;
auto-merge-snyk.yml	3	1	0	0	1	 broad-perms;
auto-merge.yml	0	0	0	0	1	
autonomous-remediation.yml	0	0	0	0	0	
azure-container-apps-deploy.yml	4	1	0	0	7	 broad-perms; many-secrets;
billing-reconciliation.yml	0	0	0	0	1	
build.yml	0	0	0	0	2	
bundle-size.yml	0	0	0	0	1	
chaos-engineering.yml	0	0	0	0	0	
ci-analytics.yml	2	0	0	1	1	 workflow_run;
ci-auth-debugger.yml	0	0	0	0	2	
ci-baseline-metrics.yml	0	0	0	0	0	
code-quality-gates.yml	0	0	0	0	1	
codeql.yml	0	0	0	0	0	
commitlint.yml	0	0	0	0	0	
compliance-audit-export.yml	0	0	0	0	0	
container-hardening.yml	3	1	0	0	0	 broad-perms;
cosign-sign-verify.yml	3	1	0	0	0	 broad-perms;
cost-attribution.yml	4	1	0	0	4	 broad-perms; many-secrets;
cost-optimization.yml	3	1	0	0	3	 broad-perms;
coverage-enforcement.yml	0	0	0	0	1	
coverage.yml	0	0	0	0	1	
create-project-board.yml	0	0	0	0	0	
dependabot-auto-merge-guard.yml	4	0	1	0	1	 pr-target;
dependency-auto-fix.yml	3	1	0	0	1	 broad-perms;
dependency-review.yml	0	0	0	0	0	
deploy-and-publish.yml	1	0	0	0	10	 many-secrets;
deploy.yml	1	0	0	0	7	 many-secrets;
deployment-promotion.yml	5	1	0	1	0	 broad-perms; workflow_run;
developer-onboarding.yml	3	1	0	0	0	 broad-perms;
d3vonn-deploy.yml	0	0	0	0	0	
disaster-recovery-drill.yml	0	0	0	0	0	
dora-metrics.yml	3	1	0	0	1	 broad-perms;
e2e-smoke-tests.yml	0	0	0	0	1	
e2e.yml	0	0	0	0	0	
ebpf-telemetry.yml	0	0	0	0	0	
edge-functions-typecheck.yml	0	0	0	0	0	
eks-deploy-oidc.yml	3	1	0	0	0	 broad-perms;
falco-runtime-detection.yml	0	0	0	0	0	
feature-flags-db-safety.yml	0	0	0	0	0	
final-green-check.yml	0	0	0	0	0	
gitops-reconciliation.yml	0	0	0	0	0	
governance-drift.yml	3	0	0	0	0	 event-injection-risk;
hermes-gate.yml	0	0	0	0	0	
hermes-v3-gate.yml	0	0	0	0	1	
iac-drift-detection.yml	3	1	0	0	2	 broad-perms;
incident-response.yml	0	0	0	0	1	
infrastructure-ci-cd.yml	4	1	0	0	6	 broad-perms; many-secrets;
issue-tracker-sync.yml	3	0	0	1	6	 workflow_run; many-secrets;
issue-trigger.yml	3	1	0	0	2	 broad-perms;
kyverno-admission.yml	0	0	0	0	0	
lighthouse.yml	0	0	0	0	0	
llm-cost-governance.yml	0	0	0	0	0	
load-test.yml	2	0	0	1	0	 workflow_run;
lockfile-integrity.yml	0	0	0	0	0	
metrics-export.yml	1	0	0	0	6	 many-secrets;
ml-anomaly-detection.yml	0	0	0	0	0	
multi-cloud-cost-arbitrage.yml	0	0	0	0	1	
multi-env-promotion.yml	3	1	0	0	0	 broad-perms;
multi-region-failover.yml	3	1	0	0	3	 broad-perms;
mutation-tests.yml	0	0	0	0	0	
notifications.yml	2	0	0	1	2	 workflow_run;
observability.yml	2	0	0	1	0	 workflow_run;
oidc-deploy.yml	4	1	0	0	8	 broad-perms; many-secrets;
performance-regression.yml	0	0	0	0	0	
platform-control-plane.yml	3	1	0	0	1	 broad-perms;
platform-graduation.yml	3	1	0	0	1	 broad-perms;
platform-health-dashboard.yml	3	1	0	0	0	 broad-perms;
policy-as-code.yml	0	0	0	0	0	
pr-automation.yml	0	0	0	0	1	
predictive-failure-detection.yml	0	0	0	0	1	
promotion.yml	1	0	0	0	5	 many-secrets;
release-notes.yml	3	1	0	0	1	 broad-perms;
release.yml	3	1	0	0	3	 broad-perms;
reproducible-builds.yml	3	1	0	0	0	 broad-perms;
reusable-node-setup.yml	0	0	0	0	0	
sbom-generation.yml	3	1	0	0	0	 broad-perms;
sbom.yml	3	1	0	0	0	 broad-perms;
secrets-elimination.yml	3	1	0	0	0	 broad-perms;
security-hardening.yml	0	0	0	0	0	
self-documenting-platform.yml	3	1	0	0	1	 broad-perms;
self-healing-v2.yml	3	1	0	0	1	 broad-perms;
sla-reporting.yml	3	1	0	0	1	 broad-perms;
stale-pr-cleanup.yml	0	0	0	0	1	
supabase-edge-functions.yml	0	0	0	0	3	
terraform-aws.yml	3	1	0	0	1	 broad-perms;
terraform.yml	4	1	0	0	14	 broad-perms; many-secrets;
testing.yml	0	0	0	0	3	
threat-intelligence.yml	0	0	0	0	0	
trusted-build.yml	3	1	0	0	0	 broad-perms;
trusted-runner-isolation.yml	3	1	0	0	0	 broad-perms;
usage-analytics.yml	3	1	0	0	0	 broad-perms;
validate-actions.yml	0	0	0	0	0	
validate-secrets.yml	1	0	0	0	12	 many-secrets;
vault-secrets-injection.yml	3	1	0	0	0	 broad-perms;
workflow-optimizer.yml	0	0	0	0	0	
zero-downtime-migration.yml	0	0	0	0	0	
